Business Name,Service Offered,Phone number,Address,Status
test v 1,"",+1-342-342-3444,"Aahar Indian Cuisine, Grand River Avenue, Farmington Hills, MI, USA",Active
fdsdf,"",N/A,"DSF7, North McCarthy Boulevard, Milpitas, CA, USA",Active
dgd,"",N/A,"Washington D.C., DC, USA",Active
dfds,"",N/A,"Washington D.C., DC, USA",Active
vddv,Sit Down,N/A,"Newark Liberty International Airport (EWR), Brewster Road, Newark, NJ, USA",Active
rtg,"",N/A,"Dallas, TX, USA",Active
ferter,"",N/A,"DSF8 Amazon, Atlas Road, Richmond, CA, USA",Active
mmmmmmm,"",N/A,"Miami, FL, USA",Active
sdfdsf,Food Court,N/A,"DSW Designer Shoe Warehouse, West 34th Street, New York, NY, USA",Active
werwe,"",N/A,"Eem - Thai BBQ & Cocktails, North Williams Avenue, Portland, OR, USA",Active
4545,"",N/A,"3615 S Hope St, Los Angeles, CA, USA",Active
yth,"",+1-123-456-7899,"42nd Street, Brooklyn, NY, USA",Active
Abc,"",+1-123-456-7890,"Dallas, TX, USA",Active
fhfd,Bus,+1-123-456-7890,"El Paso, TX, USA",Active
Working,"Bus, Sit Down, Fast Food, Attraction",+1-123-456-7890,"Los Angeles, CA, USA",Active
fdf,"",+1-123-456-9780,"Denver, CO, USA",Active
ddd,Sit Down,+1-123-456-7890,"Georgia, USA",Active
erewerew,"Fast Food, Sit Down, Attraction",+1-123-456-7890,"El Paso, TX, USA",Active
Bike,Fast Food,+1-123-456-7890,"Boston, MA, USA",Active
535,Hotel,+1-123-456-7890,"RWE Clean Energy, Summit Lake Drive, Valhalla, NY, USA",Active
436436,"",+1-123-456-7890,"Seattle, WA, USA",Active
erer,"",+1-123-456-7890,"34 Fairview Road, Canton, MA, USA",Active
dsd,"",+1-123-456-7890,Estados Unidos,Active
one,Bus,+1-123-456-7890,"Los Angeles, CA, USA",Active
vndor1,"",+1-123-456-7809,"Washington D.C., DC, USA",InActive
545,"",+1-123-456-7890,"Georgia, USA",Active
25 32,"",+1-234-567-8901,"3615 S Hope St, Los Angeles, CA, USA",Active
Shubham Vendor,"",+1-123-456-7890,"Denver, CO, USA",Active
435,"",+1-463-456-7890,"San Francisco, CA, USA",Active
wrwr,"",+1-123-456-7890,"El Paso, TX, USA",InActive
3244,"",+1-123-456-7890,"San Francisco, CA, USA",Active
4324,"",+1-123-456-7890,"Quincy, IL, USA",Active
34543tet,"",+1-234-567-8901,"Dallas, TX, USA",InActive
Shubham Vendor,"",+1-123-456-7890,"Hilton Head Island, SC, USA",Active
12345,"",+1-123-456-7890,"San Francisco, CA, USA",Active
4325,"",+1-123-456-7890,"Washington D.C., DC, USA",Active
355,"",+1-123-456-7890,"435 South Street, Morristown, NJ, USA",Active
Bus Adda,Bus,+1-312-313-4131,"Times Square Theater, West 42nd Street, New York, NY, USA",Active
Vendor One,"",+1-333-333-2222,"501 Paramount Boulevard, Ramona Park, Long Beach, CA, USA",Active
new vendor,"",+1-000-000-0000,"123 William Street, New York, NY, USA",Active
Don't Touch,"",+1-000-000-0000,"17 Mile Drive, Pebble Beach, CA, USA",Active
Test Vendor April,"",+1-123-456-7890,"Richmond, VA, USA",Active
Century Travels,"",+1-893-248-9388,"FVI School of Nursing and Technology, West Flagler Street, Miami, FL, USA",InActive
shafatest,"",+1-987-865-6453,"Francis Scott Key Bridge, Curtis Bay Industrial Area, MD, USA",Active
T&T,"",+1-987-654-5436,"YGF Malatang, Barber Lane, Milpitas, CA, USA",Active
RRHOTELS,"",+91-222-222-2222,"Georgia, USA",Active
dfggd,"",+91-545-454-4444,"546 Gulf Avenue, Staten Island, NY, USA",Active
New test vendor ,"",+1-232-323-2324,"Dallas, TX, USA",Active
Business Test Name,"",+1-t87-562-3873,"Tracy, CA, USA",Active
Business TestName2,"",+1-666-863-4877,"G F Congdon Parkway, Philadelphia, PA, USA",InActive
Business Test Name4,"",+1-897-768-3763,"Erlanger, KY, USA",Active
dfdf,"",+1-121-323-3455,"Florida, USA",Active
Accenting Chicago Travels,"",+1-123-456-7890,"Hudson Yards, Manhattan, New York, NY, USA",Active
New Vendor,"",+1-343-434-3434,"Florida, USA",Active
sadasd,"",+1-342-343-2234,"Addison, TX, USA",Active
New Vendor,"",+1-sds-dsd-sdsd,"Dallas, TX, USA",Active
New Vendor,"",+1-sds-dsd-sdsd,"Dallas, TX, USA",Active
Robert Travels,"",+1-123-456-7890,"Ohio State Universty, West Lane Avenue, Columbus, OH, USA",Active
Validation,"",+1-222-322-2333,"Atlanta, GA, USA",Active
New test vendor,"",+1-343-434-3434,"Denver, CO, USA",InActive
abc,"",+1-0996709179488,"Hudson Yards, Manhattan, New York, NY, USA",Active
test2,"",+1-987-654-3210,"Hudson, NY, USA",Active
aman,"",+1-234-343-43434,"Hudson Yards, Manhattan, New York, NY, USA",Active
Aman,"",+1-123-456-7890,"Ohio City, OH, USA",Active
Vendor Aman,"",+1-234-324-3242,"6521 Blackfriars Lane, Hudson, OH, USA",InActive
New test vendor,"",+1-934-793-7493,"Florida, USA",Active
vendor one,"",+1-098-765-4321,"New Hampshire, USA",Active
Shubham Vendor1,"",+1-234-343-43434,"Richmond, VA, USA",Active
Shubham Vendor,"",+1-243-434-3453,"29 Palms, CA, USA",Active
SAVendor,"",+1-283-489-23434,"Manhattan, New York, NY, USA",Active
startfresh,"",+1-172-462-3444,"New York, NY, USA",Active
ThirdOctober,"",+1-273-467-324,"Oklahoma City, OK, USA",Active
TaazaaBoxed Mealll,"",+1-142-141-414141,"31st Street Beach, Chicago, IL, USA",Active
TaazaaNewVendor,"",+1-123-934-52998,"Slidell, LA, USA",Active
capicitytesting,"",+1-123-478-9897,"Addressing Machine & Supply, Central Avenue, Hillside, NJ, USA",Active
raymonds,"",+1-273-743-46734,"Mississippi, USA",Active
burgerclub,"",+1-987-877-823123,"Alaska Peninsula, Alaska, USA",Active
lenskart,"",+1-324-875-6345,"Arizona Mills, South Arizona Mills Circle, Tempe, AZ, USA",Active
Oyo Rooms,"",+1-465-973-24543,"New Jersey, USA",Active
NatureTrek,"",+1-874-828-9233,"Georgia, USA",Active
Zona Tours,"",+1-724-752-1170,"294 Portersville Road, Ellwood City, Pennsylvania 16117, USA",Active
WokNoodles,"",+1-347-653-24899,"New Jersey Institute of Technology, Doctor Martin Luther King Junior Boulevard, Newark, NJ, USA",Active
Gift4you,"",+1-238-746-324,"South Dakota, USA",Active
Myntra,"",+1-238-748-29734,"24 Jackson Avenue, Mystic, CT, USA",Active
J S Hotels,"",+1-273-467-8234,"Jacobs Well, Texas, USA",Active
testnew,"",+1-273-423,sdf234234234werwer,Active
SkyHotel,"",+1-647-367-364,"111, lake street Pearl Road ",Active
anshulll,"",+1-234-234-87234,27834hgweyuweyrwer Pearl Road ,Active
